item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,merchant-shipping-group,status,maximum-retail-price
"Eset Internet Security - 1 User, 1 Year (Email Delivery in 2 hours- No CD)",,0513XOY63ME,ESET_IS_1U_1Y,400,241,2020-05-14 00:15:41 IST,,y,1,,,11,,,,B079KPY3H6,,,,,,B079KPY3H6,,,0,DEFAULT,Digital Delivery Prime,Active,1399
"Eset Internet Security 2020 MultiDevice (Windows/Mac/Android/Linux) - 1 User, 1 Year (Email Delivery in 2 Hours - No CD)",,0615XZ9GA2S,ESET_IS_1U_1Y_2020,539,3,2020-06-15 21:17:22 IST,,y,1,,,11,,,,B08B1YDBB9,,,,,,B08B1YDBB9,,,0,DEFAULT,Digital Delivery Prime,Active,1499
"Eset Internet Security 2020 Multi-Device (Windows / Mac / Android / Linux) - 1 User, 3 Years (Email Delivery in 2 hours- No CD)",,0513XOVMM4E,ESET_IS_1U_3Y,1200,104,2020-05-14 00:16:44 IST,,y,1,,,11,,,,B079KFL6SQ,,,,,,B079KFL6SQ,,,0,DEFAULT,Digital Delivery Prime,Active,2799
"ESET Internet Security - 2 Devices, 1 Year (Email Delivery in 2 Hours- No CD)",,0515XV9UKUC,ESET_IS_2U_1Y,700,10,2020-05-16 01:10:29 IST,,y,1,,,11,,,,B07C7JVC7Q,,,,,,B07C7JVC7Q,,,0,DEFAULT,Digital Delivery Prime,Active,1599
"ESET Internet Security - 3 Devices, 1 Year (Email Delivery in 2 Hours- No CD)",,0513XOWD35Z,ESET_IS_3U_1Y,800,29,2020-05-14 00:25:59 IST,,y,1,,,11,,,,B07C7JV871,,,,,,B07C7JV871,,,0,DEFAULT,Digital Delivery Prime,Active,2199
"Eset NOD32 Antivirus Latest Version - 10 PC, 1 Year (10 Individual Keys) (Email Delivery in 2 Hours - No CD)",,0520XAVDK4M,ESET_NOD32_AV_10U_1Y,2299,14,2020-05-21 01:48:15 IST,,y,1,,,11,,,,B088V64NP3,,,,,,B088V64NP3,,,0,DEFAULT,Digital Delivery Prime,Active,5000
"Eset NOD32 Antivirus Latest Version - 1 PC, 1 Year (Email Delivery in 2 Hours - No CD)",,0520XACHSYB,ESET_NOD32_AV_1U_1Y,224,5,2020-05-21 01:45:06 IST,,y,1,,,11,,,,B088V8745Q,,,,,,B088V8745Q,,,0,DEFAULT,Digital Delivery Prime,Active,999
"Eset NOD32 Antivirus 2020 Latest Version - 1 PC, 3 Years (Email Delivery in 2 Hours - No CD)",,0615XZ7CWJ5,ESET_NOD32_AV_1U_3Y,550,66,2020-06-15 21:16:24 IST,,y,1,,,11,,,,B08B1VCC6X,,,,,,B08B1VCC6X,,,0,DEFAULT,Digital Delivery Prime,Active,999
"ESET NOD32 Antivirus - 2 Devices, 1 Year (Email Delivery in 2 Hours- No CD)",,0515XVAI5UN,ESET_NOD32_AV_2U_1Y,750,20,2020-05-16 01:32:15 IST,,y,1,,,11,,,,B07C7YFSHC,,,,,,B07C7YFSHC,,,0,DEFAULT,Digital Delivery Prime,Active,1499
"eScan Antivirus with Total Protection Version 11 - 1 PC, 1 Year (Email Delivery in 2 Hours - No CD)",,1116U41LD8F,ES_AV_11_1U_1Y,163,28,2018-11-16 20:18:36 IST,,y,1,,,11,,,,B07KCJ9BQN,,,,,,B07KCJ9BQN,,,0,DEFAULT,Digital Delivery Prime,Active,595
